id	gene_symbol	Description(s)	PanPan	PanTro	HomSap	GorGor	PonPyg	PonAbe	SymSyn
67	MTRNR2-like 17	MTRNR2-like 17;MTRNR2-like	0	96.000;96.000;100.000	0	0	0	0	0
68	glutamate dehydrogenase 1, mitochondrial-like	glutamate dehydrogenase 1, mitochondrial-like	0	98.907;98.907;100.000	0	0	99.592	90.870;90.870;100.000;100.000;90.870;90.870	0
69	HSFY2	heat shock transcription factor, Y-linked-like;heat shock transcription factor Y-linked 1;heat shock transcription factor, Y-linked;heat shock transcription factor Y-linked 2	0	0	100.000	0	100.000;100.000;100.000;100.000;100.000;100.000	100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000	63.536;100.000;100.000;100.000;100.000;63.536;63.536;63.536;63.536;100.000;100.000;100.000;100.000;100.000;100.000
75	PRY2	PTPN13-like protein, Y-linked;PTPN13 like Y-linked 2;PTPN13 like Y-linked	0	0	100.000	100.000	0	93.452;93.452;94.048;93.452;93.452;100.000	0
82	protein FRG1-like	protein FRG1-like	0	0	0	0	0	95.370	97.318
84	centriole and centriolar satellite protein OFD1-like	centriole and centriolar satellite protein OFD1-like	0	0	0	100.000	0	0	0
97	B melanoma antigen 3-like	B melanoma antigen 3-like;B melanoma antigen 5-like	0	0	0	92.308	0	0	0
98	glutathione hydrolase 1 proenzyme-like	glutathione hydrolase 1 proenzyme-like	0	0	0	95.427	0	0	0
99	uncharacterized LOC129530384	uncharacterized LOC129530384;uncharacterized LOC129530379	0	0	0	67.610	0	0	0
111	protein FAM47A-like	protein FAM47A-like	0	0	0	0	87.884	100.000	0
113	zinc finger protein 285-like	zinc finger protein 285-like;zinc finger protein 717-like;zinc finger protein 347-like	0	0	0	0	55.584;52.915;48.879	46.296	0
115	uncharacterized LOC129053376	uncharacterized LOC129053376;uncharacterized LOC129025631;translation initiation factor IF-2-like	0	0	0	0	76.923	76.923	0
116	adenylate kinase isoenzyme 6-like	adenylate kinase isoenzyme 6-like	0	0	0	0	99.448;88.947;89.671	98.343;100.000;100.000;98.895;93.846;96.203;98.343;98.343;99.510;91.667;98.343;100.000;98.895;93.846;96.203;98.895;93.846;96.203;98.895;93.814;92.130	100.000
135	transcription initiation factor TFIID subunit 13-like	transcription initiation factor TFIID subunit 13-like	0	0	0	0	0	0	99.194
136	TATA-box binding protein associated factor 11 like protein 2-like	TATA-box binding protein associated factor 11 like protein 2-like	0	0	0	0	0	0	88.718;87.879;98.485;87.374;97.449;90.206;88.205;88.718;90.155;87.374;86.364;89.286;86.869;96.939;86.735
