original	renamed	species	order	gc	identity	armlength	spacerlength	spacer_renamed	spacergc
mPanTro3.chrX.Q12A	mPanTro3.palindromeSeq.chrX.part-25.fa	mPanTro3	25	0.5	99.6	9398	69505	mPanTro3.spacerSeq.chrX.part-13.fa	0.4
mPanTro3.chrX.Q13A	mPanTro3.palindromeSeq.chrX.part-27.fa	mPanTro3	27	0.42	99.9	161024	5742	mPanTro3.spacerSeq.chrX.part-14.fa	0.44
mPanTro3.chrX.Q14A	mPanTro3.palindromeSeq.chrX.part-29.fa	mPanTro3	29	0.41	100	10696	11681	mPanTro3.spacerSeq.chrX.part-15.fa	0.37
mPanTro3.chrX.Q15.1A	mPanTro3.palindromeSeq.chrX.part-31.fa	mPanTro3	31	0.43	99.8	25984	116894	mPanTro3.spacerSeq.chrX.part-16.fa	0.44
mPanTro3.chrX.Q15.2A	mPanTro3.palindromeSeq.chrX.part-33.fa	mPanTro3	33	0.43	99.8	25984	182097	mPanTro3.spacerSeq.chrX.part-17.fa	0.44
mPanTro3.chrX.Q15.3A	mPanTro3.palindromeSeq.chrX.part-35.fa	mPanTro3	35	0.44	99.3	23018	136829	mPanTro3.spacerSeq.chrX.part-18.fa	0.44
mPanTro3.chrX.Q15.4A	mPanTro3.palindromeSeq.chrX.part-37.fa	mPanTro3	37	0.44	99.4	17187	83257	mPanTro3.spacerSeq.chrX.part-19.fa	0.44
mPanTro3.chrX.Q16A	mPanTro3.palindromeSeq.chrX.part-39.fa	mPanTro3	39	0.44	99.6	40381	59634	mPanTro3.spacerSeq.chrX.part-20.fa	0.4
mPanTro3.chrX.Q17A	mPanTro3.palindromeSeq.chrX.part-41.fa	mPanTro3	41	0.42	99.5	97555	13845	mPanTro3.spacerSeq.chrX.part-21.fa	0.42
mPanTro3.chrX.Q18A	mPanTro3.palindromeSeq.chrX.part-43.fa	mPanTro3	43	0.39	99.2	108105	332438	mPanTro3.spacerSeq.chrX.part-22.fa	0.39
mPanTro3.chrX.Q19A	mPanTro3.palindromeSeq.chrX.part-45.fa	mPanTro3	45	0.39	97.8	8047	83997	mPanTro3.spacerSeq.chrX.part-23.fa	0.38
mPanTro3.chrX.Q20A	mPanTro3.palindromeSeq.chrX.part-47.fa	mPanTro3	47	0.35	99.8	15052	8827	mPanTro3.spacerSeq.chrX.part-24.fa	0.38
mPanTro3.chrX.Q21.1A	mPanTro3.palindromeSeq.chrX.part-49.fa	mPanTro3	49	0.42	98.4	28039	475586	mPanTro3.spacerSeq.chrX.part-25.fa	0.44
mPanTro3.chrX.Q21.2A	mPanTro3.palindromeSeq.chrX.part-51.fa	mPanTro3	51	0.41	99.6	136059	207441	mPanTro3.spacerSeq.chrX.part-26.fa	0.47
mPanTro3.chrX.Q21.3A	mPanTro3.palindromeSeq.chrX.part-53.fa	mPanTro3	53	0.47	99.8	19703	161484	mPanTro3.spacerSeq.chrX.part-27.fa	0.45
mPanTro3.chrX.Q22A	mPanTro3.palindromeSeq.chrX.part-55.fa	mPanTro3	55	0.43	98.9	21377	49632	mPanTro3.spacerSeq.chrX.part-28.fa	0.43
mPanTro3.chrX.Q23A	mPanTro3.palindromeSeq.chrX.part-57.fa	mPanTro3	57	0.47	99.5	44852	18277	mPanTro3.spacerSeq.chrX.part-29.fa	0.45
mPanTro3.chrX.Q24A	mPanTro3.palindromeSeq.chrX.part-59.fa	mPanTro3	59	0.59	99.9	9935	1195	mPanTro3.spacerSeq.chrX.part-30.fa	0.61
mPanTro3.chrX.Q25A	mPanTro3.palindromeSeq.chrX.part-61.fa	mPanTro3	61	0.49	99.9	38533	107966	mPanTro3.spacerSeq.chrX.part-31.fa	0.41
mPanTro3.chrX.Q26A	mPanTro3.palindromeSeq.chrX.part-63.fa	mPanTro3	63	0.6	99.8	11284	37759	mPanTro3.spacerSeq.chrX.part-32.fa	0.61
mPanTro3.chrX.Q27A	mPanTro3.palindromeSeq.chrX.part-65.fa	mPanTro3	65	0.53	99.6	35714	21827	mPanTro3.spacerSeq.chrX.part-33.fa	0.47
mPanTro3.chrX.Q28.1A	mPanTro3.palindromeSeq.chrX.part-67.fa	mPanTro3	67	0.39	99.3	34994	96260	mPanTro3.spacerSeq.chrX.part-34.fa	0.41
mPanTro3.chrX.Q28.2A	mPanTro3.palindromeSeq.chrX.part-69.fa	mPanTro3	69	0.48	99.9	14538	67196	mPanTro3.spacerSeq.chrX.part-35.fa	0.39
mPonAbe1.chrX.Q1.1A	mPonAbe1.palindromeSeq.chrX.part-1.fa	mPonAbe1	1	0.46	99.9	17217	3676	mPonAbe1.spacerSeq.chrX.part-1.fa	0.44
mPonAbe1.chrX.Q1.2A	mPonAbe1.palindromeSeq.chrX.part-3.fa	mPonAbe1	3	0.44	99.6	128273	1704	mPonAbe1.spacerSeq.chrX.part-2.fa	0.45
mPonAbe1.chrX.Q2A	mPonAbe1.palindromeSeq.chrX.part-5.fa	mPonAbe1	5	0.42	97.4	16388	13914	mPonAbe1.spacerSeq.chrX.part-3.fa	0.45
mPonAbe1.chrX.Q3A	mPonAbe1.palindromeSeq.chrX.part-7.fa	mPonAbe1	7	0.45	99.6	31184	7387	mPonAbe1.spacerSeq.chrX.part-4.fa	0.43
mPonAbe1.chrX.Q4A	mPonAbe1.palindromeSeq.chrX.part-9.fa	mPonAbe1	9	0.46	98.8	42546	69460	mPonAbe1.spacerSeq.chrX.part-5.fa	0.39
mPonAbe1.chrX.Q5.1A	mPonAbe1.palindromeSeq.chrX.part-11.fa	mPonAbe1	11	0.45	98.9	33046	236205	mPonAbe1.spacerSeq.chrX.part-6.fa	0.43
mPonAbe1.chrX.Q5.2A	mPonAbe1.palindromeSeq.chrX.part-13.fa	mPonAbe1	13	0.39	98.9	11888	206357	mPonAbe1.spacerSeq.chrX.part-7.fa	0.44
mPonAbe1.chrX.Q5.3A	mPonAbe1.palindromeSeq.chrX.part-15.fa	mPonAbe1	15	0.46	99.2	8840	188808	mPonAbe1.spacerSeq.chrX.part-8.fa	0.44
mPonAbe1.chrX.Q6A	mPonAbe1.palindromeSeq.chrX.part-17.fa	mPonAbe1	17	0.44	99.1	67673	38884	mPonAbe1.spacerSeq.chrX.part-9.fa	0.43
mPonAbe1.chrX.Q7A	mPonAbe1.palindromeSeq.chrX.part-19.fa	mPonAbe1	19	0.49	98.5	23382	14853	mPonAbe1.spacerSeq.chrX.part-10.fa	0.45
mPonAbe1.chrX.Q8A	mPonAbe1.palindromeSeq.chrX.part-21.fa	mPonAbe1	21	0.44	99.9	28708	10572	mPonAbe1.spacerSeq.chrX.part-11.fa	0.44
mPonAbe1.chrX.Q9A	mPonAbe1.palindromeSeq.chrX.part-23.fa	mPonAbe1	23	0.44	98.2	33730	4011	mPonAbe1.spacerSeq.chrX.part-12.fa	0.63
mPonAbe1.chrX.Q10A	mPonAbe1.palindromeSeq.chrX.part-25.fa	mPonAbe1	25	0.43	99.8	115652	913	mPonAbe1.spacerSeq.chrX.part-13.fa	0.52
mPonAbe1.chrX.Q11.1A	mPonAbe1.palindromeSeq.chrX.part-27.fa	mPonAbe1	27	0.41	98.2	18357	118536	mPonAbe1.spacerSeq.chrX.part-14.fa	0.4
mPonAbe1.chrX.Q11.2A	mPonAbe1.palindromeSeq.chrX.part-29.fa	mPonAbe1	29	0.42	99.4	21489	69622	mPonAbe1.spacerSeq.chrX.part-15.fa	0.38
mPonAbe1.chrX.Q12A	mPonAbe1.palindromeSeq.chrX.part-31.fa	mPonAbe1	31	0.42	99.8	99603	10768	mPonAbe1.spacerSeq.chrX.part-16.fa	0.4
mPonAbe1.chrX.Q13A	mPonAbe1.palindromeSeq.chrX.part-33.fa	mPonAbe1	33	0.44	98.6	29216	25345	mPonAbe1.spacerSeq.chrX.part-17.fa	0.41
mPonAbe1.chrX.Q14A	mPonAbe1.palindromeSeq.chrX.part-35.fa	mPonAbe1	35	0.4	99.9	12990	4619	mPonAbe1.spacerSeq.chrX.part-18.fa	0.39
mPonAbe1.chrX.Q15.1A	mPonAbe1.palindromeSeq.chrX.part-37.fa	mPonAbe1	37	0.44	99.4	25590	107035	mPonAbe1.spacerSeq.chrX.part-19.fa	0.41
mPonAbe1.chrX.Q15.2A	mPonAbe1.palindromeSeq.chrX.part-39.fa	mPonAbe1	39	0.42	98.6	23744	55444	mPonAbe1.spacerSeq.chrX.part-20.fa	0.4
mPonAbe1.chrX.Q16A	mPonAbe1.palindromeSeq.chrX.part-41.fa	mPonAbe1	41	0.4	98.8	23230	45562	mPonAbe1.spacerSeq.chrX.part-21.fa	0.36
mPonAbe1.chrX.Q17A	mPonAbe1.palindromeSeq.chrX.part-43.fa	mPonAbe1	43	0.47	99.4	13012	255802	mPonAbe1.spacerSeq.chrX.part-22.fa	0.38
mPonAbe1.chrX.Q18.1A	mPonAbe1.palindromeSeq.chrX.part-45.fa	mPonAbe1	45	0.45	98.5	22443	226939	mPonAbe1.spacerSeq.chrX.part-23.fa	0.46
mPonAbe1.chrX.Q18.2A	mPonAbe1.palindromeSeq.chrX.part-47.fa	mPonAbe1	47	0.48	99.9	49175	49189	mPonAbe1.spacerSeq.chrX.part-24.fa	0.45
mPonAbe1.chrX.Q18.3A	mPonAbe1.palindromeSeq.chrX.part-49.fa	mPonAbe1	49	0.51	99	9444	207885	mPonAbe1.spacerSeq.chrX.part-25.fa	0.46
mPonAbe1.chrX.Q18.4A	mPonAbe1.palindromeSeq.chrX.part-51.fa	mPonAbe1	51	0.51	98.6	15573	177188	mPonAbe1.spacerSeq.chrX.part-26.fa	0.45
mPonAbe1.chrX.Q19A	mPonAbe1.palindromeSeq.chrX.part-53.fa	mPonAbe1	53	0.46	99.7	53586	7403	mPonAbe1.spacerSeq.chrX.part-27.fa	0.5
mPonAbe1.chrX.Q20A	mPonAbe1.palindromeSeq.chrX.part-55.fa	mPonAbe1	55	0.62	99.1	8512	1386	mPonAbe1.spacerSeq.chrX.part-28.fa	0.62
